City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,76.41,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
10,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Omboue,GA,76.06,overcast clouds,-1.5746,9.2618,Hotel Olako
19,Clinton,US,78.82,broken clouds,42.587,-82.9199,River's Edge
23,Pacifica,US,79.74,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
27,Hithadhoo,MV,81.34,clear sky,-0.6,73.0833,Scoop Guest House
28,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Kavieng,PG,82.49,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
34,Matay,EG,78.22,clear sky,28.419,30.7792,Nag Aespen
35,Makakilo City,US,86.32,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
36,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
41,Feijo,BR,85.23,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
53,Portland,US,87.94,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
54,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
55,West Bay,KY,89.06,scattered clouds,19.3667,-81.4167,Calypso Cove
61,Buala,SB,80.94,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
66,Bulri,PK,77.92,clear sky,24.8667,68.3333,
67,Porlamar,VE,81.05,broken clouds,10.958,-63.8491,Lidotel Hotel Boutique Margarita
70,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
72,Sinnamary,GF,80.96,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
77,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti Beach Resort
80,Santa Maria Del Oro,MX,81.12,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
81,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
82,Cedar City,US,77.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
84,Mitu,CO,82.54,broken clouds,1.1983,-70.1733,
86,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
