City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Svetlogorsk,BY,2022-09-20 16:01:55,52.6333,29.7333,50.41,77,83,4.41
1,Rikitea,PF,2022-09-20 16:01:55,-23.1203,-134.9692,72.82,73,0,14.41
2,Butaritari,KI,2022-09-20 16:01:55,3.0707,172.7902,80.64,74,100,7.72
3,Barrow,US,2022-09-20 16:01:56,71.2906,-156.7887,30.22,93,40,6.91
4,Punta Arenas,CL,2022-09-20 16:01:56,-53.15,-70.9167,44.11,65,100,11.61
5,Hilo,US,2022-09-20 15:58:04,19.7297,-155.09,72.28,83,20,8.05
6,Ushuaia,AR,2022-09-20 16:01:56,-54.8,-68.3,43.65,56,100,8.1
7,Kaitangata,NZ,2022-09-20 16:01:57,-46.2817,169.8464,47.93,97,100,3.22
8,Peniche,PT,2022-09-20 16:01:57,39.3558,-9.3811,84.07,77,2,6.96
9,Busselton,AU,2022-09-20 16:01:57,-33.65,115.3333,57.15,75,3,14.34
10,San Quintin,MX,2022-09-20 16:01:58,30.4833,-115.95,70.7,76,8,11.27
11,Vostok,RU,2022-09-20 16:01:58,46.4856,135.8833,29.97,73,0,6.02
12,Vaini,TO,2022-09-20 16:01:58,-21.2,-175.2,74.64,79,46,21.39
13,Nikolskoye,RU,2022-09-20 16:01:59,59.7035,30.7861,53.49,91,100,3.15
14,Thompson,CA,2022-09-20 16:01:59,55.7435,-97.8558,44.76,100,100,10.36
15,Kapaa,US,2022-09-20 16:01:59,22.0752,-159.319,76.1,79,100,3.0
16,Samarai,PG,2022-09-20 16:02:00,-10.6167,150.6667,80.04,85,100,11.74
17,Airai,TL,2022-09-20 16:02:00,-8.9266,125.4092,59.68,92,67,2.95
18,Puerto Ayora,EC,2022-09-20 16:02:00,-0.7393,-90.3518,68.56,93,100,10.0
19,Namwala,ZM,2022-09-20 16:02:01,-15.7504,26.4384,85.24,36,89,9.1
20,Henties Bay,NA,2022-09-20 16:02:01,-22.116,14.2845,62.28,54,0,13.44
21,Port-Gentil,GA,2022-09-20 16:02:02,-0.7193,8.7815,82.36,69,40,13.8
22,Ribeira Grande,PT,2022-09-20 16:02:02,38.5167,-28.7,79.2,78,20,10.36
23,Port Hardy,CA,2022-09-20 16:02:02,50.6996,-127.4199,53.67,72,4,3.98
24,Kashi,CN,2022-09-20 16:02:03,39.4547,75.9797,72.64,36,83,4.65
25,Culebra,PR,2022-09-20 16:02:04,18.303,-65.301,86.04,78,100,15.35
26,Qui Nhon,VN,2022-09-20 16:02:04,13.7667,109.2333,77.36,91,100,7.07
27,Atuona,PF,2022-09-20 16:02:05,-9.8,-139.0333,76.73,77,32,22.84
28,Cap Malheureux,MU,2022-09-20 16:02:05,-19.9842,57.6142,71.47,76,8,10.0
29,New Norfolk,AU,2022-09-20 16:02:05,-42.7826,147.0587,53.71,69,100,1.99
30,Pitimbu,BR,2022-09-20 16:02:06,-7.4706,-34.8086,80.47,62,22,13.4
31,Dingle,PH,2022-09-20 16:02:06,10.9995,122.6711,76.68,88,100,2.51
32,Saint-Philippe,RE,2022-09-20 16:02:07,-21.3585,55.7679,71.19,84,40,13.73
33,Baghmara,IN,2022-09-20 16:02:07,23.795,86.2085,77.7,94,83,7.92
34,La Ronge,CA,2022-09-20 16:02:07,55.1001,-105.2842,50.31,91,100,10.11
35,Tuatapere,NZ,2022-09-20 16:02:08,-46.1333,167.6833,48.29,92,100,1.57
36,Jorpeland,NO,2022-09-20 16:02:08,59.0225,6.0408,59.04,62,77,4.34
37,Acajutla,SV,2022-09-20 16:02:09,13.5928,-89.8275,82.81,72,83,10.25
38,Pangyan,PH,2022-09-20 16:02:09,5.7008,125.2811,80.33,77,80,2.08
39,Minsk,BY,2022-09-20 16:01:15,53.9,27.5667,51.55,80,100,3.47
40,Tasiilaq,GL,2022-09-20 16:02:10,65.6145,-37.6368,41.16,98,100,11.05
41,Traverse City,US,2022-09-20 15:59:20,44.7631,-85.6206,71.83,80,100,10.31
42,Victoria,HK,2022-09-20 15:58:09,22.2855,114.1577,85.32,82,69,8.01
43,Bluff,NZ,2022-09-20 16:02:12,-46.6,168.3333,46.8,85,84,4.41
44,Mana,GF,2022-09-20 16:02:13,5.6592,-53.7767,84.63,71,70,9.4
45,Altamira,BR,2022-09-20 16:02:13,-3.2033,-52.2064,101.43,23,6,5.77
46,East London,ZA,2022-09-20 16:02:13,-33.0153,27.9116,61.21,68,90,8.03
47,Vila,PT,2022-09-20 16:03:14,42.0304,-8.1588,78.69,42,29,6.15
48,Yellowknife,CA,2022-09-20 16:02:06,62.456,-114.3525,42.57,100,6,2.71
49,Clyde River,CA,2022-09-20 16:03:14,70.4692,-68.5914,32.61,73,87,10.58
50,Albany,US,2022-09-20 16:00:12,42.6001,-73.9662,69.03,84,98,1.01
51,Mataura,NZ,2022-09-20 16:03:15,-46.1927,168.8643,46.47,100,100,1.21
52,Isiolo,KE,2022-09-20 16:03:15,0.3546,37.5822,79.72,39,45,17.25
53,Torbay,CA,2022-09-20 16:03:16,47.6666,-52.7314,56.28,72,73,8.01
54,Carnarvon,AU,2022-09-20 16:03:16,-24.8667,113.6333,65.34,75,31,20.36
55,Avarua,CK,2022-09-20 16:03:16,-21.2078,-159.775,71.65,88,100,9.22
56,Millau,FR,2022-09-20 16:03:17,44.0833,2.9167,75.33,24,0,6.87
57,Khatanga,RU,2022-09-20 16:03:17,71.9667,102.5,23.49,90,96,7.2
58,Tiksi,RU,2022-09-20 16:03:17,71.6872,128.8694,34.23,85,100,12.3
59,Lanzhou,CN,2022-09-20 16:00:26,36.0564,103.7922,63.39,49,9,1.01
60,Port-Cartier,CA,2022-09-20 16:03:20,50.0334,-66.8654,53.74,66,11,11.27
61,Saldanha,ZA,2022-09-20 16:03:20,-33.0117,17.9442,59.23,78,0,12.53
62,Vardo,NO,2022-09-20 16:03:21,70.3705,31.1107,42.78,75,40,19.57
63,Taree,AU,2022-09-20 16:03:21,-31.9,152.4667,54.1,92,100,4.23
64,Lebu,CL,2022-09-20 16:03:21,-37.6167,-73.65,49.71,66,47,6.33
65,Manakara,MG,2022-09-20 16:03:22,-22.1333,48.0167,69.69,82,4,7.81
66,Aguilas,ES,2022-09-20 16:03:22,37.4063,-1.5829,78.85,60,69,7.14
67,Hobart,AU,2022-09-20 16:00:31,-42.8794,147.3294,54.05,73,40,8.05
68,Camana,PE,2022-09-20 16:03:23,-16.6228,-72.7111,63.97,75,65,13.6
69,Cape Town,ZA,2022-09-20 15:59:07,-33.9258,18.4232,65.08,55,0,13.8
70,Manono,CD,2022-09-20 16:03:24,-7.3,27.4167,86.43,40,100,2.21
71,Bengkulu,ID,2022-09-20 16:03:25,-3.8004,102.2655,75.31,93,100,4.88
72,Port Elizabeth,ZA,2022-09-20 15:58:38,-33.918,25.5701,62.89,73,20,5.75
73,Aden,YE,2022-09-20 16:00:25,12.7794,45.0367,88.48,70,47,3.51
74,Adra,ES,2022-09-20 16:03:25,36.7496,-3.0206,84.38,71,99,2.73
75,Hermanus,ZA,2022-09-20 15:59:17,-34.4187,19.2345,65.8,71,0,9.28
76,Celestun,MX,2022-09-20 16:03:26,20.8667,-90.4,85.08,63,2,3.4
77,Luna,PH,2022-09-20 16:03:26,10.9667,123.2333,80.67,82,100,10.25
78,Bambanglipuro,ID,2022-09-20 16:03:26,-7.95,110.2833,76.55,83,69,7.43
79,Isangel,VU,2022-09-20 16:03:27,-19.55,169.2667,74.21,88,5,7.16
80,Bathsheba,BB,2022-09-20 16:03:27,13.2167,-59.5167,85.03,74,100,19.13
81,Castro,BR,2022-09-20 16:00:16,-24.7911,-50.0119,70.47,65,87,2.42
82,Bella Vista,US,2022-09-20 16:03:27,36.4295,-94.2316,90.05,59,0,10.36
83,Jamestown,US,2022-09-20 15:59:57,42.097,-79.2353,71.02,59,75,11.5
84,Kununurra,AU,2022-09-20 16:01:25,-15.7667,128.7333,76.98,61,7,0.0
85,Tara,RU,2022-09-20 16:03:28,56.8944,74.371,59.77,92,39,6.24
86,Badami,IN,2022-09-20 16:03:28,15.915,75.6768,74.55,76,100,13.4
87,Klaksvik,FO,2022-09-20 16:03:29,62.2266,-6.589,52.72,98,100,12.33
88,Avera,US,2022-09-20 16:03:29,33.194,-82.5271,85.55,44,0,4.07
89,Ixtapa,MX,2022-09-20 16:03:29,20.7,-105.2,85.23,83,75,1.01
90,Gariaband,IN,2022-09-20 16:03:30,20.635,82.0614,74.71,95,100,7.29
91,Pokhara,NP,2022-09-20 16:03:30,28.2333,83.9833,73.31,87,52,2.42
92,Norman Wells,CA,2022-09-20 16:03:30,65.282,-126.8329,47.52,61,100,7.45
93,Kamachumu,TZ,2022-09-20 16:03:31,-1.6186,31.62,70.52,58,9,4.68
94,Kargasok,RU,2022-09-20 16:03:31,59.0556,80.8572,43.97,90,90,7.72
95,Mahebourg,MU,2022-09-20 16:04:31,-20.4081,57.7,71.26,88,75,12.66
96,Port Lincoln,AU,2022-09-20 16:04:32,-34.7333,135.8667,56.82,94,62,18.37
97,Hithadhoo,MV,2022-09-20 16:04:32,-0.6,73.0833,82.24,69,34,3.96
98,Kolokani,ML,2022-09-20 16:04:32,13.5728,-8.0339,83.95,60,100,5.57
99,Quzhou,CN,2022-09-20 16:04:33,28.9594,118.8686,67.03,71,67,5.95
100,Hasaki,JP,2022-09-20 16:04:33,35.7333,140.8333,63.0,87,100,25.55
101,Chipping Sodbury,GB,2022-09-20 16:04:33,51.5381,-2.3938,67.35,63,37,4.12
102,Aklavik,CA,2022-09-20 16:04:34,68.2191,-135.0107,44.6,76,100,6.91
103,Arraial Do Cabo,BR,2022-09-20 16:04:34,-22.9661,-42.0278,76.86,65,0,10.36
